pid,condition,conditionType,status,sanityFail,timeTracking,totalTime,gender,age,qConfusing,feedback,mortgagePrompt,pref0_3,pref0_6,pref6_9,pref6_12,idf0_3_hyp,idf0_6_hyp,idf6_9_hyp,idf6_12_hyp,PB3_hyp,PB6_hyp,idf0_3_exp,idf0_6_exp,idf6_9_exp,idf6_12_exp,PB3_exp,PB6_exp,numPB,MLcheatTrials,MLclicksNumber,ML_pa_mean,ML_pa_complete
10,0,no-training,4,1,"[5.2, 11.9]",12.0,male,39,no,none,"{'Q0': 'would calculate the total cost', 'Q1': 'which ever cost the least over the full term'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.047619047619047616,0.2777777777777778,0.06666666666666668,0.027777777777777776,0,1,0.9564655913861946,0.8491906647824764,0.9564655913861946,0.9779905885979652,0,1,8,0,0,,[]
11,0,no-training,4,0,"[5.6, 13.0]",13.5,man,58,no,I have none,"{'Q0': 'I would choose the cheapest the next 19 years', 'Q1': 'I would like to know what i paying over a longer period so I can plan'}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]",0.1111111111111111,0.05555555555555555,0.14285714285714285,0.05,0,1,0.9085602964160698,0.9531842929969364,0.9331277892043119,0.9659853980285168,1,1,14,0,0,,[]
12,0,no-training,4,0,"[5.3, 9.7]",11.6,male,38,Not that I found.,"I enjoyed the video, I thought it was well done. I think though for your present/future decision questions that you should include a demographic question about income level or perception of financial security, as I think that could influence how some people respond.","{'Q0': 'I would likely consider which loan has the best (lowest) interest rate over the remaining 19 year period of the term.', 'Q1': 'Because a mortgage is a long-term product, I would decide based on what would be my lowest borrowing cost for the longest period.'}","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.022222222222222227,0.038461538461538464,0.0,0.0,1,1,0.978716910292216,0.9659853980285168,1.0,1.0,1,1,4,0,0,,[]
13,0,no-training,4,0,"[5.3, 12.7]",13.0,Female,41,Not really. ,Thanks for the video. It was great to watch it.,"{'Q0': 'I would evaluate the three interest rates and conditions.', 'Q1': 'I would chose the one that provides me more security and certaint about getting my goal. To have a home by myself.'}","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.3333333333333333,0.16666666666666666,0.14285714285714285,0.08333333333333333,1,1,0.7937005259840998,0.8908987181403393,0.9331277892043119,0.9531842929969364,1,1,19,0,0,,[]
14,0,no-training,4,0,"[5.2, 11.6]",11.8,Female,26,"I found the wording of the mortgage questions a bit odd and nonspecific. If there are three mortgages and they have different rates for the first few months, first year, and for 19 years, how am I supposed to make a decision if no more details are given? I answered the questions in this part by explaining my approach to the issue, no matter what the loan repayment terms and interest rates of the three options are.",,"{'Q0': 'I would look at them carefully and consider the possibility of paying the mortgage back early. (Paying back as soon as possible and being debt free is my goal with regards to a mortgage anyway.) I would calculate the rates of interest and overall cost for the next 19 years and choose which one is the cheapest and has the least fees/penalties for early repayment.', 'Q1': 'By examining them carefully and considering the overall cost, including early repayments.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,,[]
15,0,no-training,4,0,"[5.3, 9.3]",9.7,Female,19,No.,,"{'Q0': 'I would calculate which one will be value for money and whether or not i will be able to earn enough to pay it off. I would pick the one in the first month.', 'Q1': 'I like to get things over and done with and therefore pick the short one as i would not need to worry about it later.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.0,0.023809523809523808,0.0,0.027777777777777776,0,0,1.0,0.9779905885979652,1.0,0.9779905885979652,0,0,4,0,0,,[]
16,0,no-training,4,0,"[5.2, 8.4]",8.8,male,19,no,,"{'Q0': 'work out the value added by interest for each term', 'Q1': 'By working out the difference and working the opportunity cost'}","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.022222222222222227,0.023809523809523808,0.02564102564102564,0.0,0,1,0.978716910292216,0.9779905885979652,0.978716910292216,1.0,0,1,4,0,0,,[]
17,0,no-training,4,0,"[6.1, 11.7]",12.2,male,75,no.,no,"{'Q0': 'the lowest of rates.', 'Q1': 'Common sense.'}","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.2,0.1,0.3333333333333333,0.25,0,0,0.8549879733383485,0.924655597148662,0.9085602964160698,0.924655597148662,1,0,19,0,0,,[]
18,0,no-training,4,0,"[5.5, 9.8]",10.2,female ,50,not at all ,thank you ,"{'Q0': 'I would pick the one that was best for my situation at the time', 'Q1': 'by comparing all my options '}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.1111111111111111,0.05555555555555555,296.1851851854079,0.08333333333333333,0,0,0.9085602964160698,0.9531842929969364,0.8549879733383485,0.9531842929969364,0,0,17,0,0,,[]
19,0,no-training,4,1,"[5.4, 10.7]",11.1,Male,38,no,,"{'Q0': 'I would see which one is more cost effective and would be cheaper overall for me.', 'Q1': 'By working out my total repayment and seeing which would cost me the least.'}","[0, 0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 1]",2.333333333333333,0.2777777777777778,296.1851851854079,333.25000000018474,0,0,0.5,0.8491906647824764,0.5,0.7071067811865476,0,0,22,0,0,,[]
20,0,no-training,4,0,"[5.4, 9.5]",9.9,Female,29,No,,"{'Q0': 'I would choose the one with the lowest interest rates', 'Q1': 'The one that is more in my budget'}","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.3333333333333333,0.5,0.14285714285714285,0.25,1,1,0.7937005259840998,0.7937005259840998,0.9331277892043119,0.924655597148662,1,1,22,0,0,,[]
21,0,no-training,4,0,"[5.2, 7.9]",8.1,MALE,33,NIL,GOOD,"{'Q0': 'INTERESTING LOAN', 'Q1': 'GOOD TO CHOOSE'}","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2.333333333333333,1.1666666666666667,296.1851851854079,333.25000000018474,1,1,0.5,0.7071067811865476,0.5,0.7071067811865476,1,1,36,0,0,,[]
22,0,no-training,4,0,"[5.2, 9.9]",10.1,male,34,the number is not consistent ,no,"{'Q0': ""i'll choose the first month rate highest and 19 years lowest"", 'Q1': ""It's easy to pay the first month with the highest rate and make it easy for me to pay the rest""}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.1111111111111111,0.05555555555555555,0.3333333333333333,0.25,0,0,0.9085602964160698,0.9531842929969364,0.9085602964160698,0.924655597148662,0,0,17,0,0,,[]
23,0,no-training,4,0,"[5.5, 9.6]",9.9,Female,43,No not really,,"{'Q0': 'I would choose the one with the best interest rate', 'Q1': 'I would choose the mortgage that fits within my budget.'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.047619047619047616,0.038461538461538464,0.06666666666666668,0.25,0,0,0.9564655913861946,0.9659853980285168,0.9564655913861946,0.924655597148662,0,0,12,0,0,,[]
24,0,no-training,4,0,"[5.4, 7.5]",7.8,Female,24,No,,"{'Q0': 'The one with the lowest interest rate.', 'Q1': 'The one with the lowest interest rate.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,,[]
25,0,no-training,4,1,"[5.0, 7.4]",7.4,Female,30,No.,No.,"{'Q0': 'I would choose the lowest interest rate. ', 'Q1': 'I would decide which mortgage is best by assessing which one would be paid off in the least amount of time.'}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.1111111111111111,0.2777777777777778,0.3333333333333333,0.027777777777777776,0,1,0.9085602964160698,0.8491906647824764,0.9085602964160698,0.9779905885979652,0,1,14,0,0,,[]
26,0,no-training,4,0,"[5.5, 13.8]",14.0,male,32,goodopinion,good,"{'Q0': 'good nothing else', 'Q1': 'good nothing else'}","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2.333333333333333,1.1666666666666667,296.1851851854079,333.25000000018474,1,1,0.5,0.7071067811865476,0.5,0.7071067811865476,1,1,36,0,0,,[]
27,0,no-training,4,0,"[5.8, 9.0]",9.3,Male,25 years old,"Nothing confusing, all clear.",no comments.,"{'Q0': 'I would choose interest rate for the 19 years since longer duration loans typically have lower interest rates. ', 'Q1': 'Longer duration loans typically have less interest rate on them. '}","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.07692307692307693,0.1,0.14285714285714285,0.25,0,0,0.9331277892043119,0.924655597148662,0.9331277892043119,0.924655597148662,0,0,16,0,0,,[]
28,0,no-training,4,1,"[5.6, 11.1]",12.0,Male,59,Not at all.,"As the saying goes, the best comes for those who wait. I can agree with that to some degree!","{'Q0': 'I would chose whichever loan would best suit my long term goals. For example: would it help build equity, can I pay it off early without penalty, etc.', 'Q1': 'With my long term financial goals in mind.'}","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.2,0.2777777777777778,0.3333333333333333,0.25,0,1,0.8549879733383485,0.8491906647824764,0.9085602964160698,0.924655597148662,1,1,20,0,0,,[]
29,0,no-training,4,0,"[5.6, 10.6]",10.9,female,61,no,,"{'Q0': 'I would look at my present, future and way into the future.', 'Q1': 'I would choose the option which demonstrated a good interest rate for the long term. '}","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.07692307692307693,0.05555555555555555,0.3333333333333333,0.25,0,0,0.9331277892043119,0.9531842929969364,0.9085602964160698,0.924655597148662,0,0,16,0,0,,[]
30,0,no-training,4,1,"[5.2, 8.6]",8.7,Female,29,"None, although the wording of the mortgage question took some thought to figure out (and I am not sure if I answered that correctly)",,"{'Q0': 'I would choose the mortgage loan that long-term, has me paying the least interest, as opposed to a loan that may have lower interest at the start.', 'Q1': 'I would figure out how much I want to mortgage, calculate the interest I pay in total across the mortgages, and then decide which one has me paying the least interest across the duration of the mortgage'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.047619047619047616,0.2777777777777778,0.02564102564102564,0.027777777777777776,1,1,0.9564655913861946,0.8491906647824764,0.978716910292216,0.9779905885979652,1,1,8,0,0,,[]
31,0,no-training,4,0,"[5.5, 14.3]",14.6,Male,32,I was unsure if the payment scenario was to be considered alone or along with the mortgage scenario before so I rated based on paying things off as quickly as possible or by lowest amount.,,"{'Q0': 'I would compare the interest rates against my budget and goals for when I want to have it paid off.', 'Q1': 'The one with the overall lowest interest rate or the lowest rate for the duration of the last 19 years.'}","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2.333333333333333,0.023809523809523808,296.1851851854079,333.25000000018474,1,0,0.5,0.9779905885979652,0.5,0.7071067811865476,1,0,29,0,0,,[]
32,0,no-training,4,0,"[5.5, 10.1]",11.1,Male,22,No there was no confusion.,It was interesting. I never thought of situations or questions like that and how i would approach them.,"{'Q0': 'I would choose the first year.', 'Q1': 'I believe that The first year would give me time to execute the loan.'}","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.3333333333333333,0.5,296.1851851854079,0.25,0,1,0.7937005259840998,0.7937005259840998,0.8549879733383485,0.924655597148662,1,1,24,0,0,,[]
33,0,no-training,4,0,"[5.5, 10.1]",10.4,male,39,nothing,nice survey,"{'Q0': 'growth life', 'Q1': 'future care'}","[1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 0]",1.0,1.1666666666666667,296.1851851854079,333.25000000018474,0,0,0.6299605249474366,0.7071067811865476,0.7211247851537042,0.7071067811865476,1,0,19,0,0,,[]
34,0,no-training,4,0,"[5.1, 8.9]",9.5,Male.,23.,No.,Interesting study.,"{'Q0': 'The one with the lowest overall interest rate', 'Q1': 'I would calculate which mortgage charges the least interest'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.047619047619047616,0.038461538461538464,0.14285714285714285,0.08333333333333333,0,0,0.9564655913861946,0.9659853980285168,0.9331277892043119,0.9531842929969364,0,0,12,0,0,,[]
35,0,no-training,4,0,"[5.2, 8.0]",8.3,Male,24,"No, it all made sense.",I really enjoyed the video. It was very well made. Thanks!,"{'Q0': 'I would do the math to ensure the best overall rate.', 'Q1': 'I would choose hichever rate would have me paying the least amount in total over the entire duration.'}","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.022222222222222227,0.023809523809523808,0.0,0.027777777777777776,1,0,0.978716910292216,0.9779905885979652,1.0,0.9779905885979652,1,0,5,0,0,,[]
36,0,no-training,4,0,"[5.4, 8.6]",8.7,Female,35,No,"None, thank you.","{'Q0': 'The loan that has the lowest interest rate for the 19 years.', 'Q1': 'The one that, in the end, helps save me money.'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.047619047619047616,0.05555555555555555,0.06666666666666668,0.027777777777777776,0,1,0.9564655913861946,0.9531842929969364,0.9564655913861946,0.9779905885979652,0,1,10,0,0,,[]
37,0,no-training,4,0,"[6.4, 11.3]",11.5,female,41,no,,"{'Q0': 'I would calculate out which one would save me the most money over time', 'Q1': 'the one that will save me the most money would be best'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.0,0.023809523809523808,0.0,0.08333333333333333,0,0,1.0,0.9779905885979652,1.0,0.9531842929969364,0,0,6,0,0,,[]
38,0,no-training,4,0,"[9.6, 15.1]",15.2,Female,32,No,,"{'Q0': 'I would choose the mortgage loan that has the best rate over the longest period of time.', 'Q1': 'The mortgage with the best rate over a 19 year period, assuming the mortgage will be held for that long, will be the one that will save the most money in the long term.'}","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]",0.022222222222222227,0.1,0.14285714285714285,0.05,0,1,0.978716910292216,0.924655597148662,0.9331277892043119,0.9659853980285168,0,1,12,0,0,,[]
39,0,no-training,4,0,"[5.6, 8.8]",9.1,Female,40,No,Thanks. That was really inspirational. ,"{'Q0': 'I would choose the mortgage over 19 years, it would allow me to see a better picture of the life of the loan.', 'Q1': 'Based on projections of how the loan will be over a long period of time.'}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.1111111111111111,0.05555555555555555,0.3333333333333333,0.08333333333333333,0,0,0.9085602964160698,0.9531842929969364,0.9085602964160698,0.9531842929969364,0,0,16,0,0,,[]
40,0,no-training,4,1,"[5.5, 12.6]",13.6,Male,53,"No, not really.",,"{'Q0': ""I'd work out the total cost of the loan over the full 20 years for each mortagage, and choose the one with the lowest. There'd also be concerns as to how much I could afford to pay in interest in the early stages of the loans, too. "", 'Q1': 'On the basis of cost over the full term. '}","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 0]",0.07692307692307693,0.2777777777777778,0.06666666666666668,0.011904761904761904,1,1,0.9331277892043119,0.8491906647824764,0.9564655913861946,0.9893012232339632,1,1,8,0,0,,[]
41,0,no-training,4,0,"[5.3, 7.9]",8.1,Male,29,No.,,"{'Q0': 'I would research the terms and figure out which would cause me to pay the least over time.', 'Q1': 'The one that had the best terms and cost the least over time was chosen.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,,[]
42,0,no-training,4,0,"[5.4, 8.9]",9.2,Male,23,No,,"{'Q0': 'I would choose the one that is cheapest and best suited for myself.', 'Q1': 'I would decide after evaluating each option for which one is best for myself.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.06666666666666668,0.0,0,0,1.0,1.0,0.9564655913861946,1.0,0,0,2,0,0,,[]
43,0,no-training,4,0,"[5.1, 8.2]",8.3,Male,26,No,,"{'Q0': 'Who has the lowest overall APR, taking into consideration the differences in the parts of the mortgage.', 'Q1': 'The lowest average APR, taking the time differences into account.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.0,0.038461538461538464,0.3333333333333333,0.08333333333333333,0,0,1.0,0.9659853980285168,0.9085602964160698,0.9531842929969364,0,0,10,0,0,,[]
